CONTRATO,FECHA_PEDIDO,MOTIVO_PEDIDO,PAQUETE_x,DETALLE_PEDIDO1,DETALLE_PEDIDO2,FECHA_CUMPLIMIENTO,COD_TECNICO,ESTATUS_x,ZONA,MODEM(S)_x,ESTATUS_y,PAQUETE_y,FECHA_INSTALACION,DIAS_ANTIGUEDAD,DIAS_ATENCION,RX_AVG,SERIAL_NUMBER,ONT_MODEL,SOFTWARE_VERSION
39672,2026-02-05,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-09,1500374,ACTIVO,MIL CUMBRES,XPONDD4CDE6A,AC,INT20,2024-12-06,426.0,4,-29.96157580477701,58504F4EDD4CDE6A,MN-WIFI2,V1.7.1
45499,2026-02-05,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,nan,2026-02-09,1500039,ACTIVO,PEDREGAL,XPONDD439A0B,AC,INT30,,,4,-22.364900403429115,58504F4EDD439A0B,MN-WIFI2,V1.7.1
344825,2026-02-05,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-06,1500047,ACTIVO,PRADOS VERDES,4857544317416B9F,AC,INT20,2014-04-07,4322.0,1,-19.69583716181727,4857544317416B9F,HG8546M,V3R017C10S125
43696,2026-02-05,EQUIPO DA?ADO,BASICO TELECABLE FIBRA,CAMBIO SIN COSTO TIT ENTERADO,nan,2026-02-05,1500036,ACTIVO,MADERO,XPONDD5C212D,nan,nan,,,0,-31.22444444444447,58504F4EDD5CB30E,None,None
43696,2026-02-05,EQUIPO DA?ADO,BASICO TELECABLE FIBRA,CAMBIO SIN COSTO TIT ENTERADO,nan,2026-02-05,1500036,ACTIVO,MADERO,XPONDD5C212D,nan,nan,,,0,-31.22444444444447,58504F4EDD4C5C5A,MN-WIFI2,V1.7.1
28347,2026-02-05,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,LOS ROJO,EN LINEA,2026-02-08,1500039,ACTIVO,PEDREGAL,XPONDD291630,AC,BASINT20,,,3,-26.459866364094566,58504F4EDD291630,BT-213XR,V1.2.11
46492,2026-02-06,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,nan,2026-02-06,1500039,ACTIVO,PEDREGAL,HWTCAFAA09D1,AC,INT30,2026-06-02,-116.0,0,-21.871112121212107,48575443AFAA09D1,CNA-ONU-4GE2WX,V1.7.1
43564,2026-02-06,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,nan,2026-02-08,1500374,ACTIVO,VIRREY,48575443938D9C8B,AC,INT30,2023-06-10,972.0,2,-25.02143217347462,48575443938D9C8B,546M,V3R016C10S130
28459,2026-02-06,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,REQUIERE VISITA,nan,2026-02-06,1500047,ACTIVO,PRADOS VERDES,OEMT3C1D26E4,AC,BASINT30,2016-07-10,3498.0,0,-25.549971924451096,4F454D543C1D26E4,DTXU-1GE+1FE+RFW,V6.2.25.RP
43608,2026-02-06,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,SIN SEÑAL AMBOS SERVICIOS,nan,2026-02-08,1500039,BAJA,PEDREGAL,nan,BA,BASINT20,2023-01-11,1122.0,2,,58504F4EDD5C212D,None,None
12136,2026-02-06,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,EN LINEA,2026-02-08,1500039,ACTIVO,PEDREGAL,XPONDD41E8A3,AC,INT30,2024-05-12,635.0,2,-23.159430156328895,58504F4EDD41E8A3,MN-WIFI2,V1.7.1
45038,2026-02-06,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),FOCO ROJO,EN LINEA,2026-02-08,1500039,ACTIVO,PEDREGAL,XPON1D42DA7C,AC,BASINTF250,2025-11-02,96.0,2,-24.22488653555206,58504F4E1D42DA7C,HG102AT,V1.7.1
29755,2026-02-06,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-08,1500039,ACTIVO,PEDREGAL,HWTCAFAA0959,AC,INT20,,,2,-33.65213439233484,48575443AFAA0959,CNA-ONU-4GE2WX,V1.7.1
46033,2026-02-06,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),ESTA FUERA DE LINEA REQ VISITA,nan,2026-02-06,1500047,ACTIVO,MADERO,HWTCAFAB2D2B,AC,BASINTF250,2025-10-12,117.0,0,-23.874186868686746,48575443AFAB2D2B,CNA-ONU-4GE2WXCA,V1.7.1
3429,2026-02-06,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,nan,nan,2026-02-09,1500039,ACTIVO,PEDREGAL,XPONDD3C2958,AC,INT20,2023-06-12,970.0,3,-21.491670448814915,58504F4EDD3C2958,MN-CATV2,V1.7.1
345322,2026-02-07,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,"ER, FUERA DE LINEA",2026-02-09,1500047,ACTIVO,MADERO,nan,AC,INT20,2025-08-01,190.0,2,-27.248573232323277,58504F4EDD5CA3DE,MN-WIFI2,V1.7.1
45550,2026-02-07,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,JE FUERA DE LINEA REQUIERE VISITA,2026-02-09,1500047,ACTIVO,MADERO,HWTCAF3AD462,AC,BASINTF250,,,2,-22.55789267676768,48575443AF3AD462,CNA-ONU-4GE2WXCA,V1.7.1
44902,2026-02-07,CAMBIO DE ACOMETIDA,INTERNET FIBRA 60MB,CAMBIO DE COMETIDA SIN COSTO TIT ENTERADO,nan,2026-02-07,1501177,ACTIVO,NINO ARTILLERO,XPONDD91A5DE,AC,INT20,,,0,-25.67096192637417,58504F4EDD91A5DE,MN-CATVDUALM,V1R007C00S001
621,2026-02-07,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),nan,nan,2026-02-10,1500374,ACTIVO,VIRREY,XPONDD7EAE5E,AC,BASINTF250,,,3,-25.83855208333353,58504F4EDD7EAE5E,MN-CATVDUALM,V1R007C00S001
621,2026-02-07,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),nan,nan,2026-02-10,1500374,ACTIVO,VIRREY,XPONDD7EAE5E,AC,BASINTF250,,,3,-25.83855208333353,58504F4EDD7EAE5E,MN-CATVDUALM,V1R007C00S001
8798,2026-02-07,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,EL CARGADOR NO SIRVE,nan,2026-02-09,1500047,ACTIVO,MADERO,XPONDD530184,AC,INT30,2014-01-07,4414.0,2,-26.01004292929305,58504F4EDD530184,MN-WIFI2,V1.7.1
21428,2026-02-07,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 45MB (NO VIGENTE),FOCO ROJO,"ER, FUERA DE LINEA",2026-02-09,1500039,ACTIVO,PEDREGAL,XPONDD251E37,AC,BASINT10,,,2,-26.187246596066533,42545054DD251E37,BT-213XR,V1.2.6
37051,2026-02-07,CAMBIO DE ACOMETIDA,BASICO TV + INTERNET FIBRA 60MB,TEC SOLICITA OS TIT ENTERADO QUE NO TIENE COSTO,nan,2026-02-07,1501465,ACTIVO,PEDREGAL,XPONDD290350,AC,BASINT20,2020-04-09,2130.0,0,-27.11350131752297,58504F4EDD290350,BT-213XR,V1.2.11
46334,2026-02-07,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 120MB,FUERA DE LINEA REQUIERE VISITA TECNICA,"ER, SE MANDA CONFIRMAR, CONFIRMA",2026-02-08,5555555,ACTIVO,MADERO,XPONDD41EE13,AC,INT50,2026-08-01,-175.0,1,-25.504251262626248,58504F4EDD41EE13,MN-WIFI2,V1.7.1
43207,2026-02-07,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,FUERA DE LINEA REQUIERE VISITA,"ER, SE MANDA CONFIRMAR",2026-02-09,1500047,ACTIVO,MADERO,XPONDD41EF13,AC,INT20,,,2,-25.03710101010105,58504F4EDD41EF13,MN-WIFI2,V1.7.1
37308,2026-02-07,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 45MB (NO VIGENTE),LEDS VERDES INTERMITENTES,"ER, SE MANDA CONFIRMAR",2026-02-09,1500047,ACTIVO,PRADOS VERDES,XPONDD5FF444,AC,INT10,,,2,-21.914347881572308,58504F4EDD5FF444,MN-WIFI2,V1R007C00S001
6630,2026-02-07,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,"ER, SE MANDA CONFIRMAR,  CONFIRMA",2026-02-08,5555555,ACTIVO,MADERO,XPONDD7EA106,AC,BASINTF250,,,1,-23.58369191919198,58504F4EDD7EA106,MN-CATVDUALM,V1R007C00S001
46046,2026-02-07,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO. CONFIRMA SEÑAL CLIENTE JUAN DANIEL- UBER,"ER, FUERA DE LINEA",2026-02-08,5555555,ACTIVO,EL REALITO,XPONDD7EAD56,AC,BASINTF250,,,1,-25.649167942828043,58504F4EDD7EAD56,MN-CATVDUALM,V1R007C00S001
37628,2026-02-08,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET EXTREME (NO VIGENTE),LOS ROJO,NODOD APAGADO,2026-02-08,1500374,ACTIVO,PERIODISMO,14ABF0048AC2,AC,IESEP,,,0,,58504F4EDD290350,None,None
9312,2026-02-08,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,LOS ROJO,"ER, FUERA DE LINEA",2026-02-09,1500047,ACTIVO,PRADOS VERDES,XPONDD32FB4E,AC,BASINT20,2014-11-08,4110.0,1,-20.341516079632473,58504F4EDD32FB4E,MN-CATV2,V1.7.1
38930,2026-02-08,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,CLIENTE ROMPIO EL CARGADOR,"ER, FUERA DE LINEA",2026-02-09,1500047,ACTIVO,MADERO,XPONDD3959E4,AC,BASINT20,,,1,-23.66864015151525,58504F4EDD3959E4,MN-CATV2,V1.7.1
41590,2026-02-08,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,"ER, SE MANDA CONFIRMAR",2026-02-09,1500047,ACTIVO,PUNHUATO,HWTC5002682E,AC,BASINTF250,2025-04-04,310.0,1,-25.73952837423309,485754435002682E,CNA-ONU-2GE2WXCA,V1.7.1
41590,2026-02-08,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,"ER, SE MANDA CONFIRMAR",2026-02-09,1500047,ACTIVO,PUNHUATO,HWTC5002682E,AC,BASINTF250,2025-04-04,310.0,1,-25.73952837423309,485754435002682E,CNA-ONU-2GE2WXCA,V1.7.1
9312,2026-02-08,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,nan,"ER, FUERA DE LINEA",2026-02-10,1500047,ACTIVO,PRADOS VERDES,XPONDD32FB4E,AC,BASINT20,2014-11-08,4110.0,2,-20.341516079632473,58504F4EDD32FB4E,MN-CATV2,V1.7.1
33621,2026-02-08,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 45MB (NO VIGENTE),nan,PIDE VISITA POR FALLA,2026-02-09,1500047,ACTIVO,MADERO,XPONDD6004B4,AC,INT10,2018-09-04,2714.0,1,-32.389551380367784,58504F4EDD6004B4,MN-WIFI2,V1R007C00S001
12136,2026-02-08,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,"LOS ROJO, DESDE OS ANTERIOR",nan,2026-02-09,1500039,ACTIVO,PEDREGAL,XPONDD41E8A3,AC,INT30,2024-05-12,637.0,1,-23.159430156328895,58504F4EDD41E8A3,MN-WIFI2,V1.7.1
27835,2026-02-08,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-09,1500039,ACTIVO,PEDREGAL,204E7FC187DD,AC,INT20,2019-03-10,2527.0,1,-20.56349470499244,48575443574CC871,HG8546M,V5R019C00S050
42070,2026-02-08,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 60MB,nan,nan,2026-02-09,1500039,ACTIVO,PEDREGAL,XPONDD396604,AC,INT20,,,1,-19.418933434190603,58504F4EDD396604,MN-CATV2,V1.7.1
43608,2026-02-08,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 60MB,nan,nan,2026-02-09,1500039,BAJA,PEDREGAL,nan,BA,BASINT20,2023-01-11,1124.0,1,,485754435002682E,CNA-ONU-2GE2WXCA,V1.7.1
45104,2026-02-08,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET 50MB (DOBLE MEGAS) (NO VIGENTE),LOS ROJO,nan,2026-02-09,1500047,ACTIVO,PRADOS VERDES,XPON1D90364C,AC,BASINT50DM,,,1,-25.27647269014807,58504F4E1D90364C,HG102AT,V1.7.1
30455,2026-02-08,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 75MB,SIN CONEXION,nan,2026-02-12,1500374,ACTIVO,VIRREY,485754436489508B,AC,INT30,2021-04-12,1763.0,4,-27.183885416666797,485754436489508B,546M,V3R016C10S130
343466,2026-02-09,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,SIN SEÑAL EN NINGUN SERVICIO,nan,2026-02-10,1500047,ACTIVO,MADERO,OEMT3C1D24AC,AC,BASINT20,2014-01-04,4419.0,1,-22.146736111111103,4F454D543C1D24AC,DTXU-1GE+1FE+RFW,V6.2.30.RP
46046,2026-02-09,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),nan,nan,2026-02-10,1501177,ACTIVO,EL REALITO,XPONDD7EAD56,AC,BASINTF250,,,1,-25.649167942828043,58504F4EDD7EAD56,MN-CATVDUALM,V1R007C00S001
43645,2026-02-09,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,"ER, FUERA DE LINEA",2026-02-11,1501177,ACTIVO,EL REALITO,OPTI37AFFFBD,AC,INT30,2023-08-11,913.0,2,-20.312508933129166,4F50544937AFFFBD,IGD,0
43005,2026-02-09,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,SIN SEÑAL AMBOS SERVICIOS,nan,2026-02-12,1500047,ACTIVO,MADERO,XPONDD3FC1A7,AC,BASINT20,2023-10-07,856.0,3,-26.070417929292912,58504F4EDD3FC1A7,MN-CATV2,V1.7.1
44902,2026-02-09,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,"ER, FUERA DE LINEA",2026-02-10,1501177,ACTIVO,NINO ARTILLERO,XPONDD91A5DE,AC,INT20,,,1,-25.67096192637417,58504F4EDD91A5DE,MN-CATVDUALM,V1R007C00S001
40135,2026-02-09,EQUIPO DA?ADO,BASICO TV + INTERNET FIBRA 75MB,CAMBIO DE EQUIPO SIN COSTO TIT ENTERADA,nan,2026-02-10,1500047,ACTIVO,MADERO,XPONDD2C07C6,AC,BASINT30,,,1,-22.946822601010034,58504F4EDD2C07C6,BT-213XR,V1.2.16SP
44887,2026-02-09,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,nan,nan,2026-02-13,1500374,ACTIVO,BELO,XPONDD5CB1A6,AC,INT20,,,4,-24.043441069574293,58504F4EDD5CB1A6,MN-WIFI2,V1.7.1
45480,2026-02-09,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,nan,2026-02-10,1500047,ACTIVO,ATAPANEO,HWTC1DD87A10,AC,INT30,,,1,-29.065140809011826,485754431DD87A10,CNA-ONU-4GE2WX,V1.7.1
37385,2026-02-09,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),CABLE TROZADO,nan,2026-02-10,1500374,ACTIVO,VIRREY,485754437423904C,AC,BASINTF250,,,1,-21.158937499999976,43445443AFA3BACE,FD712GD-R850,V1.7.1
37385,2026-02-09,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),CABLE TROZADO,nan,2026-02-10,1500374,ACTIVO,VIRREY,485754437423904C,AC,BASINTF250,,,1,-21.158937499999976,43445443AFA3BACE,FD712GD-R850,V1.7.1
40180,2026-02-09,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,SIN SEÑAL,nan,2026-02-10,1500047,ACTIVO,MADERO,XPONDD4CE262,AC,INT30,2022-09-02,1256.0,1,-21.196944444444444,58504F4EDD4CE262,MN-WIFI2,V1.7.1
45814,2026-02-09,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,FUERA DE LINEA REQUIERE VISITA,nan,2026-02-10,1500047,ACTIVO,MADERO,XPONDD5CBBBE,AC,INT30,2025-09-10,152.0,1,-28.490699494949645,58504F4EDD5CBBBE,MN-WIFI2,V1.7.1
41590,2026-02-09,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,nan,2026-02-10,1500047,ACTIVO,PUNHUATO,HWTC5002682E,AC,BASINTF250,2025-04-04,311.0,1,-25.73952837423309,485754435002682E,CNA-ONU-2GE2WXCA,V1.7.1
41590,2026-02-09,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,nan,2026-02-10,1500047,ACTIVO,PUNHUATO,HWTC5002682E,AC,BASINTF250,2025-04-04,311.0,1,-25.73952837423309,485754435002682E,CNA-ONU-2GE2WXCA,V1.7.1
24608,2026-02-09,EQUIPO DA?ADO,BASICO TV + INTERNET FIBRA 250MB ($399),SIN COSTO TIT ENTERADO PIDE DAVID E,nan,2026-02-09,1500039,ACTIVO,PERIODISMO,HWTCAFAB563B,AC,BASINTF250,2026-08-01,-173.0,0,-25.785942184154298,48575443AFAB563B,CNA-ONU-4GE2WXCA,V1.7.1
33508,2026-02-09,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,MODEM APAGADO,nan,2026-02-10,1500047,ACTIVO,MADERO,48575443D094B75B,AC,INT20,,,1,-22.791390151515063,48575443D094B75B,HG8546M,V5R019C00S050
28459,2026-02-09,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 75MB,LOS ROJO,nan,2026-02-10,1500036,ACTIVO,PRADOS VERDES,OEMT3C1D26E4,AC,BASINT30,2016-07-10,3501.0,1,-25.549971924451096,4F454D543C1D26E4,DTXU-1GE+1FE+RFW,V6.2.25.RP
347865,2026-02-09,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 75MB,LOS ROJO,nan,2026-02-10,1500047,ACTIVO,PRADOS VERDES,HWTCAFAA181D,AC,INT30,2026-09-02,-205.0,1,-21.194655677655664,48575443AFAA181D,CNA-ONU-4GE2WX,V1.7.1
46482,2026-02-10,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,nan,2026-02-11,1500047,ACTIVO,PRADOS VERDES,HWTC1DD89384,AC,BASINTF250,2026-09-02,-204.0,1,-21.597821927888166,485754431DD89384,CNA-ONU-4GE2WXCA,V1.7.1
31573,2026-02-10,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 60MB,LOS ROJO,nan,2026-02-11,1500047,ACTIVO,MADERO,XPONDD52FC2C,AC,INT20,2026-09-02,-204.0,1,-20.51160856935369,58504F4EDD52FC2C,MN-WIFI2,V1.7.1
40180,2026-02-10,EQUIPO DA?ADO,INTERNET FIBRA 75MB,CLIENTE ENTERADO CAMBIO DE EQUIPO SIN COSTO DANIEL,nan,2026-02-10,1500047,ACTIVO,MADERO,XPONDD4CE262,AC,INT30,2022-09-02,1257.0,0,-21.196944444444444,58504F4EDD4CE262,MN-WIFI2,V1.7.1
343955,2026-02-10,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 120MB,nan,nan,2026-02-12,1500374,ACTIVO,VIRREY,XPONDD52DC74,AC,INT50,2014-09-04,4177.0,2,-22.957479166666715,58504F4EDD52DC74,MN-CATV2,V1.7.1
46457,2026-02-10,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 250MB ($399),LOS ROJO,nan,2026-02-11,1500039,ACTIVO,PERIODISMO,CDTCAFA3E55E,AC,BASINTF250,2026-09-02,-204.0,1,-28.51889728096666,43445443AFA3E55E,FD712GD-R850,V1.7.1
12136,2026-02-10,NO NAVEGA. LEDS FIJOS/RUIDO,INTERNET FIBRA 75MB,FOCO ROJO,nan,2026-02-10,1500039,ACTIVO,PEDREGAL,XPONDD41E8A3,AC,INT30,2024-05-12,639.0,0,-23.159430156328895,58504F4EDD41E8A3,MN-WIFI2,V1.7.1
345052,2026-02-10,NO NAVEGA. LEDS FIJOS/RUIDO,BASICO TV + INTERNET FIBRA 75MB,PIDE VISITA POR FALLAS CONSTANTES,nan,2026-02-11,1500039,ACTIVO,PEDREGAL,XPONDD35416A,AC,BASINT30,,,1,-22.809220877458355,58504F4EDD35416A,MN-CATV2,V1.7.1
7975,2026-02-10,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 45MB (NO VIGENTE),FUERA DE LINEA,nan,2026-02-13,1500039,ACTIVO,PEDREGAL,XPONDD6F09B3,AC,BASINT10,,,3,-30.687767271810376,58504F4EDD6F09B3,MN-CATV2,V1R007C00S001
43401,2026-02-10,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,INTERNET FIBRA 120MB,MODEM APAGADO,nan,2026-02-11,1500047,ACTIVO,MADERO,4857544374B2894C,AC,INT50,,,1,-23.068452020201956,4857544374B2894C,HG8546M,V5R019C00S050
28430,2026-02-10,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,LOS ROJO AMBOS SERVICIO,nan,2026-02-11,1500039,ACTIVO,PERIODISMO,XPONDD353EC2,AC,BASINT20,2016-09-10,3440.0,1,-24.075226623840088,58504F4EDD353EC2,MN-CATV2,V1.7.1
42026,2026-02-10,NO NAVEGA. LEDS PARPADEANDO/NO AMARRA,BASICO TV + INTERNET FIBRA 60MB,nan,nan,2026-02-11,1500047,ACTIVO,PRADOS VERDES,XPONDD396A94,AC,BASINT20,2022-12-12,1156.0,1,-20.803388208269517,58504F4EDD396A94,MN-CATV2,V1.7.1
